x,y,z
199,0,177
200,0,174
200,5,174
199,5,174
198,5,176
197,5,173
196,5,174
195,5,174
194,5,172
193,5,172
192,5,173
191,5,174
190,5,175
189,5,173
188,5,173
187,5,172
186,5,173
185,5,174
184,5,174
183,5,174
182,5,173
181,5,175
180,5,174
179,5,173
178,5,172
177,5,173
176,5,172
175,5,174
174,5,174
173,5,174
172,5,172
171,5,173
170,5,172
169,5,172
168,5,173
167,5,172
166,5,172
165,5,174
164,5,172
163,5,173
162,5,172
161,5,173
160,5,171
159,5,171
158,5,171
157,5,172
156,5,173
155,5,173
154,5,171
153,5,171
152,5,172
151,5,170
150,5,171
149,5,171
148,5,171
147,5,171
146,5,170
145,5,170
144,5,171
143,5,170
142,5,171
141,5,170
140,5,171
139,5,171
138,5,173
137,5,171
136,5,171
135,5,171
134,5,170
133,5,173
132,5,171
131,5,173
130,5,173
129,5,171
128,5,173
127,5,171
126,5,172
125,5,172
124,5,171
123,5,173
122,5,172
121,5,172
120,5,170
119,5,171
118,5,171
117,5,171
116,5,171
115,5,170
114,5,170
113,5,170
112,5,171
111,5,168
110,5,173
109,5,173
108,5,173
107,5,173
106,5,172
105,5,170
104,5,173
103,5,170
102,5,170
101,5,171
100,5,168
99,5,171
98,5,170
97,5,171
96,5,172
95,5,173
94,5,170
93,5,171
92,5,171
91,5,171
90,5,171
89,5,171
88,5,171
87,5,173
86,5,172
85,5,172
84,5,171
83,5,170
82,5,170
81,5,162
80,5,162
79,5,164
78,5,163
77,5,163
76,5,164
75,5,164
74,5,164
73,5,163
72,5,163
71,5,165
70,5,163
69,5,163
68,5,163
67,5,164
66,5,171
65,5,171
64,5,168
63,5,171
62,5,171
61,5,170
60,5,171
59,5,171
58,5,170
57,5,171
56,5,173
55,5,174
54,5,174
53,5,174
52,5,154
51,5,151
50,5,153
49,5,155
48,5,155
47,5,154
46,5,151
45,5,154
44,5,153
43,5,153
42,5,154
41,5,153
40,5,153
39,5,151
38,5,153
37,5,153
36,5,155
35,5,151
34,5,155
33,5,153
32,5,153
31,5,171
30,5,171
29,5,173
28,5,173
27,5,173
26,5,171
25,5,172
24,5,172
23,5,174
22,5,172
21,5,174
20,5,174
19,5,173
18,5,172
17,5,173
16,5,173
15,5,173
14,5,173
13,5,174
12,5,173
11,5,174
10,5,175
9,5,174
8,5,173
7,5,174
6,5,174
5,5,170
4,5,170
3,5,172
2,5,171
1,5,173
0,5,171
0,10,171
1,10,173
2,10,171
3,10,171
4,10,173
5,10,172
6,10,171
7,10,172
8,10,171
9,10,171
10,10,171
11,10,170
12,10,172
13,10,173
14,10,171
15,10,170
16,10,170
17,10,170
18,10,171
19,10,168
20,10,168
21,10,171
22,10,171
23,10,171
24,10,170
25,10,172
26,10,170
27,10,170
28,10,170
29,10,171
30,10,168
31,10,168
32,10,168
33,10,170
34,10,171
35,10,170
36,10,166
37,10,166
38,10,167
39,10,168
40,10,167
41,10,168
42,10,170
43,10,172
44,10,174
45,10,173
46,10,174
47,10,174
48,10,175
49,10,174
50,10,173
51,10,174
52,10,174
53,10,174
54,10,168
55,10,163
56,10,171
57,10,170
58,10,171
59,10,167
60,10,170
61,10,168
62,10,170
63,10,168
64,10,170
65,10,170
66,10,171
67,10,171
68,10,170
69,10,170
70,10,167
71,10,170
72,10,170
73,10,171
74,10,171
75,10,171
76,10,174
77,10,173
78,10,174
79,10,174
80,10,171
81,10,174
82,10,174
83,10,173
84,10,174
85,10,173
86,10,171
87,10,173
88,10,173
89,10,173
90,10,173
91,10,173
92,10,172
93,10,170
94,10,172
95,10,174
96,10,174
97,10,173
98,10,173
99,10,173
100,10,173
101,10,151
102,10,150
103,10,148
104,10,153
105,10,150
106,10,151
107,10,148
108,10,150
109,10,150
110,10,151
111,10,151
112,10,149
113,10,150
114,10,150
115,10,150
116,10,150
117,10,150
118,10,148
119,10,150
120,10,149
121,10,149
122,10,150
123,10,151
124,10,165
125,10,166
126,10,158
127,10,160
128,10,155
129,10,165
130,10,170
131,10,170
132,10,171
133,10,171
134,10,171
135,10,172
136,10,172
137,10,170
138,10,172
139,10,172
140,10,171
141,10,172
142,10,172
143,10,170
144,10,171
145,10,171
146,10,171
147,10,171
148,10,171
149,10,172
150,10,171
151,10,170
152,10,171
153,10,172
154,10,172
155,10,172
156,10,172
157,10,171
158,10,172
159,10,172
160,10,172
161,10,171
162,10,171
163,10,172
164,10,172
165,10,172
166,10,170
167,10,172
168,10,172
169,10,172
170,10,174
171,10,171
172,10,172
173,10,171
174,10,172
175,10,172
176,10,172
177,10,171
178,10,171
179,10,170
180,10,172
181,10,172
182,10,172
183,10,171
184,10,170
185,10,172
186,10,170
187,10,172
188,10,170
189,10,171
190,10,172
191,10,171
192,10,172
193,10,173
194,10,172
195,10,172
196,10,171
197,10,172
198,10,174
199,10,172
200,10,173
200,15,172
199,15,172
198,15,171
197,15,172
196,15,172
195,15,172
194,15,172
193,15,171
192,15,172
191,15,172
190,15,172
189,15,170
188,15,172
187,15,171
186,15,173
185,15,173
184,15,171
183,15,171
182,15,172
181,15,172
180,15,171
179,15,172
178,15,170
177,15,170
176,15,172
175,15,170
174,15,171
173,15,171
172,15,171
171,15,171
170,15,171
169,15,172
168,15,172
167,15,172
166,15,170
165,15,170
164,15,170
163,15,167
162,15,170
161,15,170
160,15,171
159,15,172
158,15,172
157,15,171
156,15,171
155,15,172
154,15,171
153,15,171
152,15,171
151,15,170
150,15,170
149,15,168
148,15,170
147,15,168
146,15,170
145,15,166
144,15,171
143,15,170
142,15,168
141,15,170
140,15,170
139,15,170
138,15,171
137,15,171
136,15,167
135,15,171
134,15,168
133,15,171
132,15,168
131,15,171
130,15,168
129,15,168
128,15,171
127,15,170
126,15,170
125,15,171
124,15,170
123,15,171
122,15,166
121,15,170
120,15,171
119,15,171
118,15,170
117,15,168
116,15,171
115,15,171
114,15,168
113,15,170
112,15,170
111,15,170
110,15,168
109,15,168
108,15,168
107,15,170
106,15,170
105,15,171
104,15,168
103,15,170
102,15,168
101,15,170
100,15,171
99,15,170
98,15,170
97,15,168
96,15,170
95,15,170
94,15,168
93,15,170
92,15,167
91,15,168
90,15,170
89,15,170
88,15,167
87,15,171
86,15,168
85,15,168
84,15,172
83,15,171
82,15,170
81,15,168
80,15,168
79,15,167
78,15,166
77,15,166
76,15,166
75,15,165
74,15,166
73,15,166
72,15,163
71,15,165
70,15,164
69,15,165
68,15,166
67,15,163
66,15,164
65,15,163
64,15,166
63,15,163
62,15,165
61,15,164
60,15,163
59,15,164
58,15,164
57,15,163
56,15,165
55,15,165
54,15,164
53,15,165
52,15,163
51,15,165
50,15,165
49,15,165
48,15,166
47,15,165
46,15,165
45,15,165
44,15,165
43,15,165
42,15,164
41,15,166
40,15,166
39,15,165
38,15,168
37,15,167
36,15,168
35,15,165
34,15,164
33,15,165
32,15,165
31,15,164
30,15,165
29,15,165
28,15,164
27,15,164
26,15,164
25,15,164
24,15,166
23,15,163
22,15,165
21,15,165
20,15,166
19,15,168
18,15,166
17,15,166
16,15,166
15,15,167
14,15,167
13,15,165
12,15,164
11,15,165
10,15,163
9,15,165
8,15,166
7,15,166
6,15,165
5,15,166
4,15,166
3,15,165
2,15,165
1,15,168
0,15,165
0,20,165
1,20,166
2,20,166
3,20,166
4,20,168
5,20,167
6,20,166
7,20,167
8,20,166
9,20,170
10,20,167
11,20,167
12,20,170
13,20,166
14,20,167
15,20,167
16,20,168
17,20,167
18,20,170
19,20,168
20,20,168
21,20,168
22,20,167
23,20,170
24,20,170
25,20,166
26,20,166
27,20,165
28,20,167
29,20,166
30,20,167
31,20,166
32,20,167
33,20,167
34,20,166
35,20,167
36,20,167
37,20,168
38,20,167
39,20,168
40,20,167
41,20,168
42,20,168
43,20,165
44,20,167
45,20,166
46,20,167
47,20,168
48,20,167
49,20,166
50,20,166
51,20,170
52,20,168
53,20,168
54,20,166
55,20,166
56,20,168
57,20,167
58,20,166
59,20,168
60,20,168
61,20,167
62,20,168
63,20,167
64,20,170
65,20,170
66,20,167
67,20,167
68,20,167
69,20,167
70,20,167
71,20,166
72,20,170
73,20,170
74,20,166
75,20,167
76,20,166
77,20,167
78,20,166
79,20,166
80,20,164
81,20,161
82,20,158
83,20,156
84,20,147
85,20,146
86,20,156
87,20,165
88,20,167
89,20,168
90,20,168
91,20,168
92,20,168
93,20,167
94,20,167
95,20,168
96,20,170
97,20,167
98,20,170
99,20,170
100,20,170
101,20,172
102,20,167
103,20,167
104,20,168
105,20,167
106,20,167
107,20,167
108,20,167
109,20,168
110,20,165
111,20,167
112,20,166
113,20,168
114,20,168
115,20,170
116,20,168
117,20,171
118,20,168
119,20,170
120,20,167
121,20,170
122,20,166
123,20,168
124,20,167
125,20,168
126,20,168
127,20,170
128,20,167
129,20,167
130,20,168
131,20,172
132,20,170
133,20,173
134,20,172
135,20,175
136,20,171
137,20,172
138,20,171
139,20,173
140,20,173
141,20,172
142,20,173
143,20,171
144,20,173
145,20,171
146,20,172
147,20,171
148,20,171
149,20,172
150,20,170
151,20,171
152,20,168
153,20,171
154,20,171
155,20,173
156,20,171
157,20,171
158,20,171
159,20,171
160,20,173
161,20,173
162,20,173
163,20,173
164,20,173
165,20,173
166,20,173
167,20,171
168,20,173
169,20,171
170,20,171
171,20,171
172,20,171
173,20,171
174,20,171
175,20,173
176,20,171
177,20,171
178,20,171
179,20,173
180,20,171
181,20,173
182,20,171
183,20,171
184,20,173
185,20,173
186,20,171
187,20,171
188,20,173
189,20,171
190,20,173
191,20,173
192,20,173
193,20,173
194,20,173
195,20,171
196,20,173
197,20,171
198,20,171
199,20,171
200,20,171
200,25,171
199,25,168
198,25,166
197,25,161
196,25,159
195,25,158
194,25,157
193,25,158
192,25,155
191,25,151
190,25,149
189,25,153
188,25,148
187,25,149
186,25,148
185,25,147
184,25,148
183,25,142
182,25,140
181,25,137
180,25,138
179,25,134
178,25,130
177,25,131
176,25,133
175,25,130
174,25,130
173,25,129
172,25,130
171,25,130
170,25,129
169,25,128
